id,func,property_text,property_kind,info_source,reasoning,category,annotation_note,gt_snippet
P001,aws_add_size_checked,(b > 0) && (a > (uint64_max - b)),assertion,CODE,CONDITIONAL,TYPE_VARIANT,"GT tests both u64 and u32 paths separately; LLM uses size_t only, missing the dispatch","#include <aws/common/math.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Coverage: 1.00 (31 lines out of 31 statically-reachable lines in 5 functions reached)
 * Runtime: 0m2.025s
 *
 * Assumptions:
 *     - given 2 non-deterministics unsigned integers
 *
 * Assertions:
 *     - r does not overflow, if aws_add_u32_checked or
 *       aws_add_u64_checked functions return AWS_OP_SUCCESS
 */
void aws_add_size_checked_harness() {
    if (nondet_bool()) {
        uint64_t a = nondet_uint64_t();
        uint64_t b = nondet_uint64_t();
        uint64_t r = nondet_uint64_t();
      "
P002,aws_add_size_checked,(b > 0) && (a > (uint32_max - b)),assertion,CODE,CONDITIONAL,TYPE_VARIANT,Same: u32 overflow condition missed,"#include <aws/common/math.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Coverage: 1.00 (31 lines out of 31 statically-reachable lines in 5 functions reached)
 * Runtime: 0m2.025s
 *
 * Assumptions:
 *     - given 2 non-deterministics unsigned integers
 *
 * Assertions:
 *     - r does not overflow, if aws_add_u32_checked or
 *       aws_add_u64_checked functions return AWS_OP_SUCCESS
 */
void aws_add_size_checked_harness() {
    if (nondet_bool()) {
        uint64_t a = nondet_uint64_t();
        uint64_t b = nondet_uint64_t();
        uint64_t r = nondet_uint64_t();
      "
P003,aws_byte_buf_init,aws_byte_buf_is_valid(&_arg_),assertion,DOMAIN,STRUCTURAL,VALIDITY_PRED,Calls AWS proof-helper validity predicate; LLM unaware this idiom is required in CBMC harnesses,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/byte_buf.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_byte_buf_init_harness() {
    /* data structure */
    struct aws_byte_buf buf; /* Precondition: buf is non-null */

    /* parameters */
    struct aws_allocator *allocator = aws_default_allocator(); /* Precondition: allocator is non-null */
    size_t capacity;

    if (aws_byte_buf_init(&buf, allocator, capacity) == AWS_OP_SUCCESS) {
        /* assertions */
        assert(aws_"
P004,aws_array_list_back,list.data != null,assertion,CODE,DIRECT,LEN_INVARIANT,GT precondition: list must have data before accessing back; LLM misses this guard,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 19s
 */
void aws_array_list_back_harness() {

    /* data structure */
    struct aws_array_list list;
    void *val = malloc(list.item_size);

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list))"
P005,aws_array_list_back,list.length != 0,assertion,CODE,DIRECT,LEN_INVARIANT,GT precondition: list non-empty; LLM skips this,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 19s
 */
void aws_array_list_back_harness() {

    /* data structure */
    struct aws_array_list list;
    void *val = malloc(list.item_size);

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list))"
P006,aws_byte_buf_append,to.len == old_to.len + from.len,assertion,NL,DIRECT,LEN_CHANGE,"Documented in Doxygen: on success, to.len increases by from.len","/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/byte_buf.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_byte_buf_append_harness() {
    struct aws_byte_buf to;
    __CPROVER_assume(aws_byte_buf_is_bounded(&to, MAX_BUFFER_SIZE));
    ensure_byte_buf_has_allocated_buffer_member(&to);
    __CPROVER_assume(aws_byte_buf_is_valid(&to));

    /* save current state of the data structure */
    struct aws_byte_buf to_old = to;

    struct aws_byte_cursor from;
    __CPROVER_assume(aws_byte_c"
P007,aws_byte_buf_append,old_to.len == to.len,assertion,CODE,EXHAUSTIVE,FRAME_COND,Failure-path frame cond: buf.len unchanged on error; LLM misses failure-path exhaustion,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/byte_buf.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_byte_buf_append_harness() {
    struct aws_byte_buf to;
    __CPROVER_assume(aws_byte_buf_is_bounded(&to, MAX_BUFFER_SIZE));
    ensure_byte_buf_has_allocated_buffer_member(&to);
    __CPROVER_assume(aws_byte_buf_is_valid(&to));

    /* save current state of the data structure */
    struct aws_byte_buf to_old = to;

    struct aws_byte_cursor from;
    __CPROVER_assume(aws_byte_c"
P008,aws_byte_buf_append,old_to.allocator == to.allocator,assertion,CODE,EXHAUSTIVE,FRAME_COND,Allocator not modified; requires knowing which fields are immutable,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/byte_buf.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_byte_buf_append_harness() {
    struct aws_byte_buf to;
    __CPROVER_assume(aws_byte_buf_is_bounded(&to, MAX_BUFFER_SIZE));
    ensure_byte_buf_has_allocated_buffer_member(&to);
    __CPROVER_assume(aws_byte_buf_is_valid(&to));

    /* save current state of the data structure */
    struct aws_byte_buf to_old = to;

    struct aws_byte_cursor from;
    __CPROVER_assume(aws_byte_c"
P009,aws_byte_buf_append,old_to.capacity == to.capacity,assertion,CODE,EXHAUSTIVE,FRAME_COND,Capacity not modified by append,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/byte_buf.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_byte_buf_append_harness() {
    struct aws_byte_buf to;
    __CPROVER_assume(aws_byte_buf_is_bounded(&to, MAX_BUFFER_SIZE));
    ensure_byte_buf_has_allocated_buffer_member(&to);
    __CPROVER_assume(aws_byte_buf_is_valid(&to));

    /* save current state of the data structure */
    struct aws_byte_buf to_old = to;

    struct aws_byte_cursor from;
    __CPROVER_assume(aws_byte_c"
P010,aws_byte_buf_append,old_from.len == from.len,assertion,CODE,EXHAUSTIVE,FRAME_COND,Source cursor not consumed/modified; frame cond for input arg,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/byte_buf.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_byte_buf_append_harness() {
    struct aws_byte_buf to;
    __CPROVER_assume(aws_byte_buf_is_bounded(&to, MAX_BUFFER_SIZE));
    ensure_byte_buf_has_allocated_buffer_member(&to);
    __CPROVER_assume(aws_byte_buf_is_valid(&to));

    /* save current state of the data structure */
    struct aws_byte_buf to_old = to;

    struct aws_byte_cursor from;
    __CPROVER_assume(aws_byte_c"
